time	V(n003)	V(n006)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000	0.000000e+000
1.000017187500000e-006	3.925187e-005	2.652673e-009
1.000051562500000e-006	1.565589e-004	1.268826e-008
1.000066836715665e-006	2.357357e-004	2.145594e-008
1.000086208290774e-006	3.728097e-004	4.050903e-008
1.000107425660192e-006	5.543303e-004	7.145901e-008
1.000128252058637e-006	7.649286e-004	1.150792e-007
1.000153024323586e-006	1.055022e-003	1.873710e-007
1.000181663355153e-006	1.438401e-003	3.022854e-007
1.000216989900440e-006	1.975226e-003	4.966183e-007
1.000259233675870e-006	2.698947e-003	8.153899e-007
1.000311934591582e-006	3.709649e-003	1.361699e-006
1.000376996363824e-006	5.094824e-003	2.290905e-006
1.000460252250234e-006	7.044956e-003	3.936139e-006
1.000567588426336e-006	9.784282e-003	6.891288e-006
1.000711518283145e-006	1.375068e-002	1.247060e-005
1.000909957294478e-006	1.961932e-002	2.348378e-005
1.001197756800632e-006	2.875798e-002	4.692579e-005
1.001631430936872e-006	4.369507e-002	1.004055e-004
1.002295429251680e-006	6.895108e-002	2.276694e-004
1.003263818435549e-006	1.103976e-001	5.204311e-004
1.004612184611790e-006	1.762222e-001	1.167086e-003
1.006466617840095e-006	2.800072e-001	2.574254e-003
1.008983643333781e-006	4.411622e-001	5.587480e-003
1.012479840181674e-006	6.951122e-001	1.214229e-002
1.017237989901640e-006	1.082435e+000	2.596311e-002
1.023699563434911e-006	1.663329e+000	5.422356e-002
1.031512063434911e-006	2.426760e+000	1.030249e-001
1.039324563434911e-006	3.238353e+000	1.660287e-001
1.042187500000000e-006	3.548804e+000	1.935628e-001
1.045826746260355e-006	3.956713e+000	2.335178e-001
1.046422925366018e-006	4.024608e+000	2.404835e-001
1.047019104471682e-006	4.092796e+000	2.475693e-001
1.047615283577346e-006	4.161280e+000	2.547753e-001
1.048211462683009e-006	4.230057e+000	2.621014e-001
1.048807641788673e-006	4.299129e+000	2.695477e-001
1.049403820894336e-006	4.368495e+000	2.771141e-001
1.050000000000000e-006	4.438156e+000	2.848007e-001
1.050075274459167e-006	4.446378e+000	2.857812e-001
1.050225823377501e-006	4.461961e+000	2.877469e-001
1.050526921214169e-006	4.490623e+000	2.916997e-001
