time	V(n003)	V(n006)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000	0.000000e+000
1.000017187500000e-006	5.752225e-005	2.643845e-009
1.000051562500000e-006	2.292943e-004	1.264256e-008
1.000066846371846e-006	3.451711e-004	2.137869e-008
1.000086221442898e-006	5.454438e-004	4.034541e-008
1.000107466290581e-006	8.106175e-004	7.117664e-008
1.000128351925056e-006	1.118295e-003	1.146704e-007
1.000153169523429e-006	1.541011e-003	1.866389e-007
1.000181912402564e-006	2.099620e-003	3.011619e-007
1.000217376101253e-006	2.880270e-003	4.947243e-007
1.000259865850608e-006	3.931924e-003	8.125513e-007
1.000312940113710e-006	5.397682e-003	1.357370e-006
1.000378640959985e-006	7.404040e-003	2.285529e-006
1.000462965958090e-006	1.022347e-002	3.931973e-006
1.000572221133891e-006	1.418008e-002	6.901066e-006
1.000719744729569e-006	1.990769e-002	1.254324e-005
1.000925443921228e-006	2.840630e-002	2.381798e-005
1.001229101360603e-006	4.173844e-002	4.815708e-005
1.001674032439411e-006	6.272219e-002	1.025622e-004
1.002423203702587e-006	1.013713e-001	2.459621e-004
1.003496822006712e-006	1.631910e-001	5.736073e-004
1.005044620487702e-006	2.641248e-001	1.328627e-003
1.007137259693008e-006	4.195034e-001	2.953762e-003
1.010046540915462e-006	6.648648e-001	6.525023e-003
1.014025223623370e-006	1.041983e+000	1.412715e-002
1.019289411593681e-006	1.595187e+000	2.958249e-002
1.026495829899154e-006	2.419866e+000	6.072880e-002
1.034308329899154e-006	3.376813e+000	1.077916e-001
1.042320840201691e-006	4.403369e+000	1.678033e-001
1.044187603025371e-006	4.653434e+000	1.852364e-001
1.046321046252433e-006	4.942925e+000	2.065004e-001
1.050000000000000e-006	5.446749e+000	2.448661e-001
1.050367895374757e-006	5.487429e+000	2.489764e-001
1.051103686124270e-006	5.561502e+000	2.572714e-001
1.052575267623297e-006	5.691990e+000	2.741868e-001
1.055518430621351e-006	5.918206e+000	3.089787e-001
1.059567328829897e-006	6.174254e+000	3.586786e-001
1.067379828829896e-006	6.570485e+000	4.584846e-001
1.075192328829896e-006	6.899836e+000	5.619577e-001
1.083004828829896e-006	7.187777e+000	6.688131e-001
1.090817328829896e-006	7.455591e+000	7.784879e-001
