time	V(n003)	V(n006)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000	0.000000e+000
1.000017187500000e-006	2.719336e-005	2.658552e-009
1.000051562500000e-006	1.085064e-004	1.271870e-008
1.000066830204861e-006	1.634090e-004	2.150751e-008
1.000086201040084e-006	2.585764e-004	4.062091e-008
1.000107404890423e-006	3.846354e-004	7.165912e-008
1.000128189114180e-006	5.308326e-004	1.153617e-007
1.000152934770315e-006	7.326294e-004	1.878874e-007
1.000181502845956e-006	9.992889e-004	3.030688e-007
1.000216741068705e-006	1.373256e-003	4.979596e-007
1.000258818794202e-006	1.877653e-003	8.173973e-007
1.000311271847477e-006	2.583156e-003	1.364823e-006
1.000375901717647e-006	3.550957e-003	2.294875e-006
1.000458437148906e-006	4.915603e-003	3.939676e-006
1.000564471095164e-006	6.834333e-003	6.886061e-006
1.000705965601199e-006	9.614412e-003	1.242467e-005
1.000899499654319e-006	1.372237e-002	2.326681e-005
1.001176730508036e-006	2.008807e-002	4.600721e-005
1.001586694979983e-006	3.037674e-002	9.664884e-005
1.002201070355533e-006	4.752330e-002	2.137587e-004
1.003085330197251e-006	7.546446e-002	4.777677e-004
1.004309256198780e-006	1.198211e-001	1.054061e-003
1.005983790373415e-006	1.897701e-001	2.296707e-003
1.008251469773629e-006	2.987586e-001	4.944050e-003
1.011379131875049e-006	4.706109e-001	1.068217e-002
1.015762174054470e-006	7.431333e-001	2.321527e-002
1.021689021854017e-006	1.155708e+000	4.922378e-002
1.029501521854017e-006	1.756270e+000	9.922723e-002
1.037314021854017e-006	2.406724e+000	1.661615e-001
1.042187500000000e-006	2.842728e+000	2.198721e-001
1.050000000000000e-006	3.575453e+000	3.202739e-001
1.050781250000000e-006	3.637288e+000	3.320246e-001
1.052343750000000e-006	3.750727e+000	3.559819e-001
1.055468750000000e-006	3.947819e+000	4.057986e-001
1.061718750000000e-006	4.285832e+000	5.102232e-001
1.067906192146580e-006	4.577828e+000	6.188295e-001
1.075718692146580e-006	4.912606e+000	7.625990e-001
1.083531192146580e-006	5.231699e+000	9.123653e-001
1.091343692146580e-006	5.541645e+000	1.067857e+000
1.099156192146580e-006	5.845289e+000	1.228607e+000
1.114781192146580e-006	6.436259e+000	1.564360e+000
